 count, time,time/count
93,6644797,"71449,4301075269"
93,5779675,"62147,0430107527"
99,6792011,"68606,1717171717"
78,7850726,"100650,333333333"
8,904690,"113086,25"
4,302877,"75719,25"
8,900016,112502
8,856632,107079
117,6426028,"54923,3162393162"
125,6299588,"50396,704"
117,5663098,"48402,547008547"
159,6817196,"42875,4465408805"
656,28426428,"43332,9695121951"
651,23289249,"35774,5760368664"
664,29164933,"43923,0918674699"
1087,49323014,"45375,3578656854"
89,5696506,"64005,6853932584"
105,5823306,"55460,0571428571"
89,5882848,"66099,4157303371"
190,8599220,"45259,0526315789"
197,9245876,"46933,3807106599"
190,7665127,"40342,7736842105"
651,29734116,"45674,5253456221"
200,12730243,"63651,215"
127,8621041,"67882,2125984252"
10,1321938,"132193,8"
4,771452,192863
373,14408563,"38628,855227882"
372,14308651,"38464,1155913978"
313,12090605,"38628,1309904153"
42,1390797,"33114,2142857143"
42,1398557,"33298,9761904762"
42,1330035,"31667,5"
171,9875280,"57750,1754385965"
170,9701751,"57069,1235294118"
151,8914251,"59034,7748344371"
133,4805536,"36131,8496240602"
105,3910039,"37238,4666666667"
835,75035243,"89862,5664670659"
1173,54711755,"46642,5873827792"
3149,132223313,"41988,9847570657"
3641,155192195,"42623,5086514694"
797,36245872,"45477,8820577164"
2812,117041440,"41622,13371266"
9331,604360386,"64769,0907726932"
1476,97780549,"66246,9844173442"
166,7045940,"42445,421686747"
1694,46392806,"27386,5442739079"
903,24134324,"26726,8261351052"
3746,99599101,"26588,1209289909"
2745,69268643,"25234,4783242259"
317,7164021,"22599,4353312303"
7171,344148778,"47991,7414586529"
2371,77683645,"32764,0847743568"
2423,104157354,"42986,9393314073"
2173,84555168,"38911,720202485"
442,18609770,"42103,5520361991"
768,24107069,"31389,4127604167"
7646,373321197,"48825,6862411719"
789,30477486,"38627,9923954373"
462,14144678,"30616,1861471861"
1337,37698893,"28196,6290201945"
304,7364453,"24225,1743421053"
141,3261180,"23128,9361702128"
484,13394924,"27675,4628099174"
2428,70010329,"28834,5671334432"
5199,165094177,"31754,9869205616"
1045,29127917,"27873,604784689"
1041,43432040,"41721,4601344861"
2071,84237363,"40674,7286335104"
4276,388239232,"90794,9560336763"
22,2021282,"91876,4545454545"
165,6440392,"39032,6787878788"
208,7043513,"33863,0432692308"
554,15341450,"27692,1480144404"
176,6539375,"37155,5397727273"
178,6343218,"35636,0561797753"
411,16019001,"38975,6715328467"
466,18013955,"38656,5557939914"
385,10731699,"27874,5428571429"
428,12133847,"28350,1098130841"
3865,179740906,"46504,762225097"
77,3621584,"47033,5584415584"
125,6865134,"54921,072"
130,5994727,"46113,2846153846"
192,7508314,"39105,8020833333"
344,14960651,"43490,2645348837"
3767,290913015,"77226,7095832227"
480,12479233,"25998,4020833333"
159,2879768,"18111,748427673"
467,13437982,"28775,1220556745"
1020,48019906,"47078,3392156863"
1474,50975683,"34583,2313432836"
11166,1337002785,"119738,741268135"
165,12911422,"78251,0424242424"
160,4958580,"30991,125"
157,4768617,"30373,3566878981"
329,10195864,"30990,4680851064"
424,10851980,"25594,2924528302"
143,5143280,"35966,993006993"
344,11987552,"34847,5348837209"
325,8466204,"26049,8584615385"
325,8525612,"26232,6523076923"
324,8735393,"26961,0895061728"
