10,639588,63959
9,667998,74222
9,675343,75038
16,1228092,76756
16,961616,60101
15,908289,60553
15,1048865,69924
51,2308536,45265
53,2450288,46232
72,5163118,71710
72,3548730,49288
6,425380,70897
6,451490,75248
6,461287,76881
7,532398,76057
28,915573,32699
21,1106568,52694
21,1085778,51704
20,1082366,54118
17,878014,51648
23,880911,38300
23,1514687,65856
20,872016,43601
7,341824,48832
8,421431,52679
8,772943,96618
29,1753039,60450
83,5937452,71536
83,4280062,51567
11,541289,49208
5,494909,98982
9,541012,60112
54,2084889,38609
4,409866,102467
5,469767,93953
4,411223,102806
6,489524,81587
6,510001,85000
11,700577,63689
10,387602,38760
7,832455,118922
7,852029,121718
37,1798648,48612
39,1948409,49959
31,1867774,60251
7,429923,61418
2,459637,229819
2,498516,249258
33,1359666,41202
4,337229,84307
4,308494,77124
3,315103,105034
5,306369,61274
9,421234,46804
3,535785,178595
3,565367,188456
15,664110,44274
80,2463893,30799
19,751404,39548
19,1382932,72786
41,1272476,31036
39,1414961,36281
41,1425249,34762
18,1983287,110183
19,1337319,70385
18,1377286,76516
15,1051325,70088
9,679567,75507
10,427213,42721
2,268363,134182
30,967229,32241
72,3111923,43221
72,3067105,42599
72,3055407,42436
77,6549953,85064
113,8382395,74180
113,10005203,88542
78,4517029,57911
85,5926439,69723
240,10505756,43774
19,1729784,91041
22,2541128,115506
114,7035494,61715
14,1068274,76305
36,1140866,31691
41,1306403,31863
41,1348666,32894
39,1365498,35013
150,6451791,43012
125,2306776,18454
67,2343959,34984
187,10638147,56888
246,11156761,45353
270,9100295,33705
110,2510581,22823
158,12075570,76428
22,1145148,52052
3686,345271283,93671
3363,218584945,64997
16,1331233,83202
58,2684227,46280
63,4674859,74204
87,2451242,28175
107,3903796,36484
109,4745421,43536
112,3317310,29619
112,4025892,35945
36,1447641,40212
36,1466833,40745
16,883642,55228
16,740520,46283
20,1198623,59931
6,912031,152005
2,731068,365534
5,818676,163735
4,414141,103535
3,328220,109407
3,249630,83210
3,247203,82401
212,9325783,43990
175,4675639,26718
185,6693751,36182
13,343333,26410
6,472399,78733
11,796484,72408
11,964446,87677
40,959317,23983
44,1374648,31242
44,1176518,26739
44,1070637,24333
11,312826,28439
42,1146954,27308
42,1738685,41397
43,1368608,31828
43,1628750,37878
97,3396773,35018
142,4169382,29362
127,3933660,30974
95,3659520,38521
102,3657560,35858
103,6898419,66975
104,3834406,36869
104,3729417,35860
104,3947304,37955
101,4694854,46484
102,5840573,57261
99,3596426,36328
5,869607,173921
5,969574,193915
93,3791219,40766
11,1033904,93991
47,1968452,41882
54,2387820,44219
56,4597184,82093
139,6812137,49008
36,3213978,89277
154,6463930,41974
43,3264703,75923
11,1317087,119735
74,1563836,21133
668,17202393,25752
21,883690,42080
45,990743,22017
410,13894613,33889
46,29479537,640860
71,5188186,73073
45,2715676,60348
73,3409831,46710
76,6458284,84977
33,475823,14419
376,8557731,22760
19,742611,39085
603,14122962,23421
507,12735310,25119
105,3805408,36242
236,9281493,39328
42,1110429,26439
22,675038,30684
30,765691,25523
43,997760,23204
319,8213137,25747
9,1013565,112618
13,1323381,101799
13,1272541,97888
27,3408593,126244
27,1477639,54727
30,2955207,98507
16,1675775,104736
16,2311885,144493
23,1164586,50634
25,1305550,52222
178,3963272,22266
52,1833180,35253
60,1319444,21991
6,353216,58869
9,555122,61680
21,778953,37093
23,849344,36928
34,1558638,45842
23,801081,34830
5,493465,98693
5,789372,157874
5,462947,92589
6,1310273,218379
82,1654242,20174
58,2363432,40749
16,471461,29466
78,3149634,40380
4,370332,92583
4,597903,149476
6,443351,73892
13,597204,45939
402,15819104,39351
138,3869031,28036
156,8070336,51733
255,11319103,44389
31,1336154,43102
387,11341510,29306
721,19994415,27732
296,8154153,27548
723,17545405,24268
141,4011730,28452
370,14847681,40129
493,18322199,37165
418,21789716,52129
9,492413,54713
20,867635,43382
62,1516986,24468
13,2344933,180379
1548,40600925,26228
894,39709302,44418
207,3693812,17845
184,3734382,20296
301,5776891,19192
303,5848352,19301
96,14286484,148818
3,568311,189437
