36,1078293,29953
36,1467792,40772
16,1408748,88047
16,1180854,73803
20,1139897,56995
6,767820,127970
2,658917,329459
5,918751,183750
4,507900,126975
3,379506,126502
3,604201,201400
3,473467,157822
212,13553939,63934
175,8166377,46665
185,7721086,41736
13,748553,57581
6,477942,79657
11,2350221,213656
11,966140,87831
40,2136075,53402
44,1758136,39958
44,1673354,38031
44,1870745,42517
11,798087,72553
42,1363733,32470
42,1902435,45296
43,1361305,31658
43,1773297,41239
97,3956162,40785
142,7296315,51383
127,3476539,27374
95,3550925,37378
102,4061983,39823
103,71867222,697740
104,7041215,67704
104,3738430,35946
104,6625497,63707
101,3682380,36459
102,3951219,38737
99,3871790,39109
5,922046,184409
5,966019,193204
93,3213264,34551
11,1207753,109796
47,2369586,50417
54,2513049,46538
56,2464873,44016
139,5690751,40941
36,1750443,48623
154,128763539,836127
43,2041847,47485
11,1125137,102285
74,3078541,41602
668,23130342,34626
21,879057,41860
45,1798139,39959
410,11362910,27714
46,2212175,48091
71,3477863,48984
45,2055165,45670
73,3773866,51697
76,2967939,39052
33,1101324,33373
376,20292743,53970
19,943738,49670
603,21139140,35057
507,15111543,29806
105,3714334,35375
236,8654573,36672
42,1903152,45313
22,1454656,66121
30,1476490,49216
43,1298060,30187
319,8380706,26272
9,700217,77802
13,1136541,87426
13,802463,61728
27,1272985,47148
27,1112704,41211
30,1284224,42807
16,1176083,73505
16,1283806,80238
23,1244047,54089
25,1591962,63678
178,4030625,22644
52,1828254,35159
60,2076430,34607
6,890050,148342
9,851375,94597
21,1173772,55894
23,890468,38716
34,1457645,42872
23,1040282,45230
5,611750,122350
5,755600,151120
5,670644,134129
6,794835,132473
82,3254314,39687
58,1768576,30493
16,917172,57323
78,2318295,29722
4,462394,115599
4,694761,173690
6,547518,91253
13,777131,59779
402,11804235,29364
138,3477861,25202
156,4694336,30092
255,9836261,38574
31,1933239,62363
387,12588483,32528
721,19230220,26672
296,12028103,40635
723,23829203,32959
141,3865660,27416
370,14340236,38757
493,21271047,43146
418,15495220,37070
9,583866,64874
20,1046364,52318
62,2067667,33349
13,1898339,146026
1548,45719035,29534
894,26666968,29829
207,5386475,26022
184,3501202,19028
301,4754458,15796
303,5996255,19790
96,3701421,38556
3,1317521,439174
